Ingredient Name,Calories,Health Star Rating,GHG Emission (kg CO2eq/FU),Category,Scientific Name,Description,Energy (kJ),Protein (g),Sodium (mg),Sugars (g),Saturated fats (g),Fibre (g)
"Cauliflower, fresh, raw",24,3.5,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Brassica oleracea,"Tight white flower clusters which form the head, with a white stem. Uncooked.",102,1.9,40,2.8,0,1.2
"Celeriac, peeled, boiled, drained",40,4,0.43,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Apium graveolens var. rapaceum,"A thick tuberous root with brown skin and white flesh, with a celery like flavour. Peeled, chopped, and boiled in unsalted water without added fat, then drained.",171,1.7,21,3,0,5.5
"Celeriac, peeled, raw",38,4,0.43,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Apium graveolens var. rapaceum,"A thick tuberous root with brown skin and white flesh, with a celery like flavour. Uncooked.",159,1.6,21,2.8,0,5.1
"Celery, fresh, fried, no added fat",18,3.5,0.5,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Apium graveolens,A green upright vegetable with long stems and green leafy ends. Chopped and fried without added fat.,76,0.7,119,1.5,0,1.8
"Celery, fresh, raw",14,3.5,0.5,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Apium graveolens,A green upright vegetable with long stems and green leafy ends.,62,0.6,98,1.2,0,1.4
"Cherry, raw",59,3,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Prunus avium,"Small, deep reddish-purple stone fruit.",250,0.8,0,10.9,0,1.5
"Chicken, barbecued, with skin",192,4,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Gallus gallus,"Whole chicken with skin, cooked in a commercial rotisserie oven. Chicken is generally rubbed with oil, spices and salt. Does not include stuffing.",806,27.5,430,0,2.47,1.1
"Chicken, breast, lean flesh, baked, no added fat",152,4.5,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Gallus gallus,"Flesh from breast portion of the chicken, with the skin and fat removed. Baked with no added fat.",637,29,46,0,1.25,0
"Chicken, breast, lean flesh, casseroled, no added fat",142,4.5,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Gallus gallus,"Flesh from breast portion of the chicken, with the skin and fat removed. Casseroled with added water then drained, no added fat.",596,27,41,0,1.2,0
"Chicken, breast, lean flesh, fried, no added fat",162,4.5,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Gallus gallus,"Flesh from breast portion of the chicken, with the skin and fat removed. Cut into thin strips and fried with no added fat.",681,35,54,0.7,0.64,0
"Chicken, breast, lean flesh, grilled, no added fat",142,4.5,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Gallus gallus,"Flesh from breast portion of the chicken, with the skin and fat removed. Grilled with no added fat.",598,29.8,43,0,0.82,0
"Chicken, breast, lean flesh, raw",104,4,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Gallus gallus,"Raw flesh from breast portion of the chicken, with the skin and fat removed.",438,22.3,41,0,0.5,0
"Chicken, breast, lean flesh, skin & fat, baked, no added fat",187,4,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Gallus gallus,"Flesh, skin and fat from the breast portion of a chicken. Baked with no added fat.",785,27.7,48,0,2.63,0
"Chicken, breast, lean flesh, skin & fat, casseroled, no added fat",167,4,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Gallus gallus,"Flesh, skin and fat from the breast portion of a chicken. Casseroled with added water then drained, no added fat.",701,26,41,0,2.16,0
