Ingredient Name,Calories,Health Star Rating,GHG Emission (kg CO2eq/FU),Category,Scientific Name,Description,Energy (kJ),Protein (g),Sodium (mg),Sugars (g),Saturated fats (g),Fibre (g)
"Mulloway, flesh, raw",103,4,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Argyrosomus holdepidotus,Uncooked mulloway flesh.,435,20.6,54,0,0.78,0
"Mulloway, flesh, steamed, no added fat",129,4,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Argyrosomus holdepidotus,Mulloway flesh that has been steamed with no added fat.,540,23.2,63,0,1.36,0
"Mushroom, common, fresh, fried, no added fat",36,4,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Agaricus bisporus,"Cultivated mushrooms that are cream in colour with brown gills, a rounded cap and thick stem. Vary in size and includes mushrooms described as button and flat. Fried without added fat.",153,4,15,0,0.14,2.5
"Mushroom, common, fresh, raw",20,3.5,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Agaricus bisporus,"Cultivated mushrooms that are cream in colour with brown gills, a rounded cap and thick stem and varying in size. It includes mushrooms described as button and flat. Uncooked.",86,2.3,9,0,0.08,1.4
"Mushroom, common, vitamin D enhanced, fresh, fried, no added fat",36,4,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Agaricus bisporus,"Cultivated, vitamin D enriched mushrooms that are cream in colour with brown gills, a rounded cap and thick stem. Vary in size and includes mushrooms described as button and flat. Fried without added fat.",153,4,15,0,0.14,2.5
"Mushroom, common, vitamin D enhanced, fresh, raw",20,3.5,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Agaricus bisporus,"Cultivated vitamin D enriched mushrooms that are cream in colour with brown gills, a rounded cap and thick stem. Vary in size and includes mushrooms described as button and flat. Uncooked.",86,2.3,9,0,0.08,1.4
"Mussel, blue, steamed",104,4,23.99,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Mytilus galloprovincialis,"Flesh of a mussel that has a blue or purple tinged shell, that has been steamed with no added fat.",438,16,353,0,0.37,0
"Nectarine, yellow, unpeeled, raw",43,3.5,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Prunus persica,Small stone fruit with a reddish/orange skin and orange flesh.,181,1.2,0,8,0,2
"Nut, almond meal",613,5,0.37,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Prunus dulcis,Almond kernel briefly heated in boiling water to remove skin and ground to form a meal.,2568,20.5,5,3.9,3.36,8.9
"Nut, almond, with skin, raw, unsalted",570,5,0.37,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Prunus dulcis,Raw natural almond kernels with a brown skin and a creamy coloured nut.,2385,19.7,0,5.2,3.81,10.9
"Nut, brazil, raw or blanched, unsalted",689,4,0.37,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Bertholletia excelsa,"Raw long, three sided creamy coloured nut with a dark brown skin, enclosed in a 3 sided, tough, dull brown-grey shell, without added salt. Generally sold without the shell and are usually imported into Australia from South America.",2886,14.4,2,2.1,14.8,8.5
"Nut, cashew, raw, unsalted",607,4,0.37,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Anacardium occidentale,"Raw, cream coloured kidney shaped nut without added salt.",2541,17,11,5.5,8.37,5.9
"Nut, cashew, roasted, salted",616,4,0.37,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Anacardium occidentale,"Cream coloured kidney shaped nut, that have been roasted without added salt.",2578,16.8,375,5.4,8.46,5.8
"Nut, chestnut, raw, unsalted",173,5,0.37,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Castanea sativa,"Raw large, round, grey-white fleshy nut, pointed at the top, with a thin brown skin inside a smooth, glossy brown, soft shell, without added salt.",727,3.4,1,3.3,0.04,14.9
"Nut, chestnut, roasted, unsalted",173,4,0.37,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Castanea sativa,"Large, round, grey-white fleshy nut, pointed at the top, with a thin brown skin inside a smooth, glossy brown, soft shell, that have been roasted on a fire or in an oven without added salt.",724,3.4,1,3.8,0.12,8.1
"Nut, hazelnut, raw, unsalted",642,4.5,0.37,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Corylus avellana,"Raw small, light brown, round nut with point at the top, and a thin brown skin, inside a smooth, hard shell with a rough round area at the base, without added salt.",2689,14.8,3,4.4,2.7,10.4
"Nut, macadamia, raw, unsalted",721,3.5,0.37,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Macadamia integrifolia,"Raw light brown, smooth, spherical nut, with a very hard, smooth brown shell, covered with either a smooth or a slightly rough brown husk, without added salt.",3018,9.2,1,4.5,10.04,6.4
"Nut, peanut, with skin, raw, unsalted",567,5,3.18,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Arachis hypogaea,"Raw kernels with reddish brown skin produced after removing the shell, without added salt.",2376,24.7,1,5.1,8.19,8.2
"Nut, peanut, with skin, roasted, with oil, salted",629,5,3.18,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Arachis hypogaea,"Kernels with reddish brown skin produced after removing the shell, that have been roasted with oil and with added salt. Commonly called Beer Nuts.",2635,24.4,380,4.7,8.98,8.3
"Nut, peanut, without skin, roasted, with oil, salted",637,4,3.18,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Arachis hypogaea,"Kernels that have had the reddish brown skin removed, and have been roasted with oil and with added salt.",2667,25.1,335,4.4,9.18,6.2
"Nut, peanut, without skin, roasted, with oil, unsalted",637,4,3.18,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Arachis hypogaea,"Kernels that have had the reddish brown skin removed, and have been roasted with oil and without added salt.",2667,25.1,1,4.4,9.18,6.2
"Nut, pecan, raw, unsalted",710,4,0.37,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Carya illinoinensis,"Raw elliptical nut with a thin, brown shell, sometimes with a black strip covered by a husk, without added salt.",2973,9.8,3,4.3,4.54,8.4
"Nut, pine, raw, unsalted",699,4,0.37,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Pinus pinea,"Raw, small cream coloured, soft kernel, which is shed from the woody scales of the mature pine cone when it opens out, without added salt. Generally sold without shell and imported in Australia from China and European countries.",2925,13,3,3.4,4.22,5.1
"Nut, pistachio, raw, unsalted",607,5,0.37,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Pistacia vera,"Raw small green kernel, covered with a thin skin, encased in a smooth, cream coloured, brittle shell which separates from the kernel, without added salt. Shell removed.",2542,19.7,7,5.9,5.8,9
"Nut, walnut, raw, unsalted",694,4,0.37,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Juglans regia,"Raw walnut kernels, described as either brown (sold for baking purposes) or golden (sold for direct consumption), without added salt. Includes samples originating from China and India.",2904,14.4,3,2.7,4.43,6.4
"Oats, hulled, uncooked",376,5,1.58,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Avena sativa L.,"A tan coloured, oval-shaped, cylindrical grain that have had their outer husk removed. Uncooked.",1575,11.7,4,1.2,1.79,8.6
"Oats, rolled, uncooked",355,5,1.58,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Avena sativa L.,Crushed grain produced by steaming and flattening with hot rollers. No further cooking. Includes traditional and quick cooking styles.,1489,12.4,3,1,1.73,9.5
"Octopus, boiled, no added fat",77,4,23.99,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Octopus spp.,Octopus flesh that has been boiled with no added fat.,324,16.6,204,0,0.25,0
"Octopus, raw",69,4,23.99,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Octopus spp.,Uncooked octopus flesh.,292,14.9,230,0,0.23,0
"Onion, mature, brown skinned, peeled, fresh, fried, no added fat",53,4,0.5,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Allium cepa,A bulb with thin outer layers of brown skin and layers of white flesh tightly wrapped together. Peeled and fried without added fat.,224,2.1,12,9.4,0,4.4
"Onion, mature, brown skinned, peeled, raw",33,3.5,0.5,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Allium cepa,A bulb with thin outer layers of brown skin and layers of white flesh tightly wrapped together. Edible portion includes flesh only. Uncooked.,139,1.3,8,5.8,0,2.7
"Onion, mature, white skinned, peeled, fresh, fried, no added fat",48,3.5,0.5,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Allium cepa,A bulb with thin outer layers of white skin and layers of white flesh tightly wrapped together. Peeled and fried without added fat.,203,2.7,21,7.5,0,3.3
"Onion, mature, white skinned, peeled, fresh, raw",30,3.5,0.5,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Allium cepa,A bulb with thin outer layers of white skin and layers of white flesh tightly wrapped together. Edible portion includes flesh only. Uncooked.,128,1.7,13,4.7,0,2.1
"Onion, spring, fresh, fried, no added fat",48,3.5,0.5,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Allium cepa,Small white onion with long thin green stalks. Fried without added fat.,204,2.7,21,7.3,0,3.1
"Onion, spring, fresh, raw",30,3.5,0.5,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Allium cepa,Small white immature onion with long thin green stalks. Uncooked.,127,1.7,13,4.5,0,1.9
"Orange, navel, peeled, raw",41,3.5,0.37,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Citrus sinensis,"Round in shape with an orange waxy peel and orange flesh, that can be broken into segments. Include Washington, Lanes Late and Leng navel oranges.",174,1,0,8.2,0,2.4
"Orange, peeled, raw",41,3.5,0.37,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Citrus sinensis,"Round in shape with an orange waxy peel and orange flesh, that can be broken into segments.",175,1,0,8.2,0,2.4
"Orange, valencia, peeled, raw",41,3.5,0.37,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Citrus sinensis,"Round in shape with an orange thin waxy peel and orange flesh, that can be broken into segments.",175,1,0,8.2,0,2.4
"Ostrich, fan fillet, raw",101,4,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Struthio camelus,Uncooked meat from ostrich thigh.,424,23.4,53,0,0.22,0
"Ostrich, moon steak, raw",108,4,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Struthio camelus,Uncooked meat from ostrich outer thigh muscle.,455,23.7,52,0,0.46,0
"Oyster, aquacultured, raw",64,3.5,23.99,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Ostreidae family including Crassostrea gigas,"Uncooked flesh of oysters purchased in open half shell. Includes oysters described as Pacific, Native and Sydney rock oysters.",268,10.1,535,0,0.51,0
"Oyster, Sydney rock, aquacultured, raw",71,3.5,23.99,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Saccostrea glomerata,Uncooked flesh of aquacultured Sydney rock oysters purchased in open half shell.,298,10.6,491,0,0.63,0
"Parsnip, peeled, fresh, baked, no added fat",69,4,0.43,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Pastinaca sativa,"A white root vegetable shaped like a carrot. Peeled, chopped and baked without added fat.",289,2.2,23,5.9,0,4.5
"Parsnip, peeled, fresh, boiled, drained",60,4,0.43,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Pastinaca sativa,"A white root vegetable shaped like a carrot. Peeled, chopped and boiled in unsalted water without added fat, then drained.",255,1.9,19,5.2,0,3.9
"Parsnip, peeled, fresh, raw",56,4,0.43,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Pastinaca sativa,A white root vegetable shaped like a carrot. Peeled and uncooked.,237,1.8,19,4.8,0,3.6
"Passionfruit, raw",72,5,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Passiflora edulis,Pulp and seeds of purple skinned passionfruit.,304,3,19,5.7,0,13.9
"Pawpaw (papaya), peeled, raw",33,3.5,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Carica papaya,Round orange skinned fruit with orange flesh with seeds.,142,0.4,7,6.9,0,2.3
"Pea, green, fresh, boiled, drained",59,4,1.79,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Pisum sativum,"A fresh small round green seed. Boiled in unsalted water without added fat, then drained.",251,4.8,1,2.7,0,5.2
"Pea, green, fresh, raw",70,4.5,1.79,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Pisum sativum,A small round green seed. Uncooked.,294,5.8,1,4,0,5.6
"Pea, green, frozen, boiled, drained",62,4.5,1.79,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Pisum sativum,"A small round green seed, purchased commercially frozen. Boiled at home in unsalted water, without added fat, then drained.",261,5.2,3,2.5,0,6.1
"Pea, green, whole, dried",318,5,1.79,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Pisum sativum,A small round green seed which has been dehydrated after harvest. Uncooked.,1334,24.1,5,2.4,0.24,16.8
"Pea, split, dried",341,5,1.79,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Pisum sativum,Yellow or green field pea with husks removed. Dry and uncooked.,1427,23,7,2.5,0.23,10.1
"Pea, split, dried, boiled, drained",86,5,1.79,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Pisum sativum,"Yellow or green field pea with husks removed that have been dried, then soaked in water before boiling in unsalted water and draining.",364,6.6,9,2.9,0.05,8.3
"Pea, yellow, whole, dried",338,5,1.79,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Pisum sativum,A small round yellow seed. Uncooked.,1418,25.6,12,2.6,0.32,17.7
"Peach, yellow, unpeeled, raw",40,3.5,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Prunus persica,Small stone fruit with a reddish/orange furry skin and orange flesh.,168,0.8,2,7.4,0,1.9
"Pear, brown skin, unpeeled, raw",63,3.5,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Pyrus communis,"Long pear shape with tapering neck, brown skin and yellowish white flesh.",264,0.3,2,10.4,0,3.4
"Pear, green skin, unpeeled, raw",66,3.5,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Pyrus communis,"Long pear shape with tapering neck, a green skin and yellowish white flesh. Includes averaged weighted results of Peckham's Triumph, William Bartlett.",278,0.4,0,12.4,0,3
"Pear, Packham's triumph, unpeeled, raw",55,3.5,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Pyrus communis,"Round pear shape with medium length neck, yellowish green skin and white flesh.",231,0.4,0,12.4,0,3
"Pear, William Bartlett, unpeeled, raw",54,3.5,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Pyrus communis,Round pear shape with medium length neck and slightly bumpy skin that is green to greenish yellow with white flesh.,228,0.3,1,9,0,3.7
"Persimmon, peeled, raw",71,3,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Diospyros kaki,Round to heart shaped fruit with bright orange skin and orange flesh.,298,0.6,6,16.1,0,2.6
"Pigeon (squab), whole, raw",291,3.5,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Columba spp.,"Uncooked meat from whole pigeon carcase, offal and bone removed.",1219,16.2,68,0,6.84,0
"Pineapple (cayenne), peeled, raw",42,3.5,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Ananas comosus,"Oval fruit with a thick greenish skin and yellow flesh. Leaves, skin, bracts and core removed.",178,0.6,2,8.2,0,1.8
"Plum, davidson (native), flesh",66,3.5,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Davidsonia pruriens,Small edible sour fruit with burgundy coloured flesh. Supplied commercially in frozen state.,280,1,45,3.9,0,2
"Plum, unpeeled, raw",38,3.5,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Prunus domestica,Small round stone fruit with a deep purple skin and a reddish/purple flesh.,162,0.6,2,6.5,0,2
"Pomegranate, peeled, raw",78,4,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Punica granatum L.,"Round shaped fruit, with hard, thick red skin, which is divided into large membrane segments containing bright red juicy seeds.",329,1.9,4,13.5,0,6.4
"Potato, coliban, peeled, baked, no added fat",87,3.5,0.45,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Solanum tuberosum,"Round in shape, with a smooth whitish skin. Peeled, chopped and baked without added fat.",368,3,7,1.5,0,1.7
"Potato, coliban, peeled, boiled, drained",55,3.5,0.45,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Solanum tuberosum,"Round in shape with a whitish skin. Peeled and boiled in unsalted water, without added fat, then drained.",234,1,10,0,0,2
"Potato, coliban, peeled, raw",58,3.5,0.45,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Solanum tuberosum,"Round in shape, with a smooth whitish skin. Peeled and uncooked.",243,2,4,1,0,1.1
"Potato, desiree, peeled, baked, no added fat",86,3.5,0.45,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Solanum tuberosum,"Round in shape, with a pink to red smooth skin and a creamy yellow flesh. Peeled, chopped and baked without added fat.",364,3.5,8,2.6,0,2.6
"Potato, desiree, peeled, boiled, drained",58,3.5,0.45,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Solanum tuberosum,"Round in shape, with a pink to red smooth skin and a creamy yellow flesh. Peeled and boiled in unsalted water, without added fat, then drained.",245,2.3,5,1.7,0,1.7
"Potato, desiree, peeled, raw",57,3.5,0.45,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Solanum tuberosum,"Round in shape, with a pink to red smooth skin and a creamy yellow flesh. Peeled and uncooked.",240,2.3,5,1.7,0,1.7
"Potato, new, peeled, baked, no added fat",98,3.5,0.45,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Solanum tuberosum,"Immature potatoes, small and round in shape with a flimsy, parchment-like skin. Peeled and baked without added fat.",413,3.5,5,0.8,0,1.7
"Potato, new, peeled, raw",65,3.5,0.45,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Solanum tuberosum,"Immature potatoes, small and round in shape with a flimsy, parchment-like skin. Peeled and uncooked.",272,2.3,3,0.6,0,1.1
"Potato, pale skin, peeled, baked, no added fat",87,3.5,0.45,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Solanum tuberosum,"Round in shape, with a smooth whitish skin. Peeled, halved and baked without added fat.",368,3,7,1.5,0,1.7
"Potato, pale skin, peeled, boiled, drained",63,3.5,0.45,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Solanum tuberosum,"Round in shape with a whitish skin. Peeled and boiled in unsalted water, without added fat, then drained.",267,1.5,10,0.2,0,2.1
"Potato, pale skin, peeled, raw",58,3.5,0.45,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Solanum tuberosum,"Round in shape, with a smooth whitish skin. Peeled and uncooked.",243,2,4,1,0,1.1
"Potato, pontiac, peeled, baked, no added fat",100,4,0.45,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Solanum tuberosum,"Round in shape, with a pink to red smooth skin and a creamy yellow flesh. Peeled and baked without added fat.",421,3.6,3,1.1,0,3.2
"Potato, pontiac, peeled, boiled, drained",67,3.5,0.45,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Solanum tuberosum,"Round in shape, with a pink to red smooth skin and a creamy yellow flesh. Peeled and boiled in unsalted water, without added fat, then drained.",283,2.4,2,0.7,0,2.1
"Potato, pontiac, peeled, raw",66,3.5,0.45,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Solanum tuberosum,"Round in shape, with a pink to red smooth skin and a creamy yellow flesh. Peeled and uncooked.",278,2.4,2,0.7,0,2.1
"Potato, red skin, peeled, baked, no added fat",86,3.5,0.45,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Solanum tuberosum,"Round in shape, with a pink to red smooth skin and a creamy yellow flesh. Peeled and baked without added fat.",364,3.5,8,2.6,0,2.6
"Potato, red skin, peeled, boiled, drained",71,3.5,0.45,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Solanum tuberosum,"Round in shape, with a pink to red smooth skin and a creamy yellow flesh. Peeled and boiled in unsalted water, without added fat, then drained.",298,2,11,0.2,0,2.4
"Potato, red skin, peeled, raw",57,3.5,0.45,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Solanum tuberosum,"Round in shape, with a pink to red smooth skin and a creamy yellow flesh. Peeled and uncooked.",240,2.3,5,1.7,0,1.7
"Potato, sebago, peeled, baked, no added fat",109,4,0.45,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Solanum tuberosum,"Round in shape, with a smooth whitish skin. Peeled, chopped and baked without added fat.",460,3.8,7,0.7,0,3.3
"Potato, sebago, peeled, boiled, drained",72,3.5,0.45,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Solanum tuberosum,"Round in shape, with a smooth whitish skin. Peeled and boiled in unsalted water, without added fat.",304,2.5,8,1,0,2.5
"Potato, sebago, peeled, raw",72,3.5,0.45,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Solanum tuberosum,"Round in shape, with a smooth whitish skin. Peeled and uncooked.",303,2.5,4,0.4,0,2.2
"Prawn, banana, aquacultured, purchased cooked",102,3.5,23.99,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Fenneropenaeus merguiensis,Flesh from banana prawns. Wild caught and purchased pre-cooked.,428,23.2,805,0,0.18,0
"Prawn, banana, wild, flesh, raw",59,3.5,23.99,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Fenneropenaeus merguiensis,"Uncooked flesh from banana prawns, typically pale in colour with a greenish tinge. Wild caught.",247,13.2,509,0,0.13,0
"Prawn, black tiger, aquacultured, purchased cooked",91,3,23.99,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Penaeus monodon,Flesh from black tiger prawns. Wild caught and purchased pre-cooked.,383,20.2,919,0,0.21,0
"Prawn, brown tiger, wild, flesh, raw",103,4,23.99,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Penaeus esculentus,"Uncooked flesh from brown tiger prawns, typically pale brown to blue-green with distinctive stripes. Wild caught.",432,23.4,273,0,0.17,0
"Prawn, endeavour, wild, flesh, raw",97,4,23.99,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Metapanaeus endeavouri,"Uncooked flesh from endeavour prawns, typically pale brown to pink in colour. Wild caught.",408,22.4,330,0,0.15,0
"Prawn, flesh, raw (green)",91,4,23.99,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Melcertus latisculatus (Family Penaeidae),"Uncooked flesh from large prawns, typically pale in colour with a greenish tinge.",381,20.7,345,0,0.15,0
"Prawn, school, wild, flesh, raw",82,4,23.99,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Metapenaeus macleayi,"Uncooked flesh from school prawns, typically pale in colour with a greenish tinge. Wild caught.",345,17.8,114,0,0.24,0
"Prawn, Western king, wild, flesh, raw",104,4,23.99,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Melicertus latisulcatus,"Uncooked flesh from Western king prawns, typically cream to light brown flesh. Wild caught.",437,23.9,268,0,0.16,0
"Prickly pear, peeled, raw",48,4,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Opuntia ficus-indica Mill,"Smooth skinned cactus fruit with clusters of tiny hair like spines, pulpy flesh containing numerous small black seeds. Also known as Indian Fig; Mission Cactus.",204,0.4,1,8.8,0,4.6
"Pumpkin, butternut, peeled, fresh, baked, no added fat",53,3.5,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Cucurbita ssp.,"Shaped like an elongated pear, with a golden brown, hard skin and deep orange flesh. Peeled, chopped and baked without added fat.",222,2.5,1,6.1,0.16,2.1
"Pumpkin, butternut, peeled, fresh, boiled, drained",47,3.5,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Cucurbita ssp.,"Shaped like an elongated pear, with a golden brown, hard skin and deep orange flesh. Peeled, chopped and boiled in unsalted water, without added fat, then drained.",197,2.2,1,5.4,0.14,1.9
"Pumpkin, butternut, peeled, fresh, raw",45,3.5,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Cucurbita ssp.,"Shaped like an elongated pear, with a golden brown, hard skin and deep orange flesh. Peeled and uncooked.",189,2.1,1,5.2,0.14,1.8
"Pumpkin, golden nugget, peeled, fresh, baked, no added fat",34,3.5,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Cucurbita,"A small, round pumpkin with orange-red skin and bright orange flesh. Peeled and baked without added fat.",146,2.6,1,3.1,0,1.3
"Pumpkin, golden nugget, peeled, fresh, boiled, drained",30,3.5,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Cucurbita ssp.,"A small, round pumpkin with orange-red skin and bright orange flesh. Peeled, chopped and boiled in unsalted water, without added fat, then drained.",129,2.3,1,2.7,0,1.1
"Pumpkin, golden nugget, peeled, fresh, raw",29,3.5,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Cucurbita,"A small, round pumpkin with orange-red skin and bright orange flesh. Peeled and uncooked.",124,2.2,1,2.6,0,1.1
"Pumpkin, jarrahdale, peeled, fresh, baked, no added fat",31,3.5,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Cucurbita,"A large, round pumpkin, with a hard, ribbed, slate-blue to grey skin and bright orange flesh. Peeled, chopped and baked without added fat.",131,0.8,0,5.1,0,1.9
"Pumpkin, jarrahdale, peeled, fresh, boiled, drained",27,3.5,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Cucurbita,"A large, round pumpkin, with a hard, ribbed, slate-blue to grey skin and bright orange flesh. Peeled, chopped and boiled in unsalted water, without added fat, then drained.",116,0.7,0,4.5,0,1.7
"Pumpkin, jarrahdale, peeled, fresh, raw",26,3.5,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Cucurbita,"A large, round pumpkin, with a hard, ribbed, slate-blue to grey skin and bright orange flesh. Peeled and uncooked.",111,0.7,0,4.3,0,1.6
"Pumpkin, peeled, fresh, baked, no added fat",44,3.5,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Cucurbita ssp.,"Usually round in shape with a thick hard skin ranging from blue-grey in colour to orange-red, with orange flesh. Peeled, chopped and baked without added fat.",186,2,1,5,0.04,2.1
"Pumpkin, peeled, fresh, boiled, drained",39,3.5,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Cucurbita ssp.,"Usually round in shape with a thick hard skin ranging from blue-grey in colour to orange-red, with orange flesh. Peeled, chopped and boiled in unsalted water, without added fat, then drained.",164,1.8,1,4.4,0.04,1.9
"Pumpkin, peeled, fresh, raw",37,3.5,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Cucurbita ssp.,"Usually round in shape with a thick hard skin ranging from blue-grey in colour to orange-red, with orange flesh. Peeled and uncooked.",158,1.7,1,4.2,0.04,1.8
"Pumpkin, Queensland blue, peeled, fresh, baked, no added fat",58,3.5,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Cucurbita,"A medium sized pumpkin with blossom and stem ends flattened. It is deeply ribbed, hard slate grey skin with a yellow-orange flesh. Peeled, chopped and baked without added fat.",244,2.4,2,5.8,0,3.2
"Pumpkin, Queensland blue, peeled, fresh, boiled, drained",51,3.5,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Cucurbita,"A medium sized pumpkin with blossom and stem ends flattened. It is deeply ribbed, hard slate grey skin with a yellow-orange flesh. Peeled, chopped and boiled in unsalted water, without added fat, then drained.",216,2.1,2,5.1,0,2.8
